country,gdp_percapita,gdp,primary_enrollments,secondary_enrollments,tertiary_enrollments
Albania,10973.4123758229,11926928505.5231,85.95611,NA,44.5492515563965
Algeria,10970.7051488836,161155315145.814,97.23353,NA,29.8894290924072
American Samoa,NA,576000000,NA,NA,NA
Andorra,NA,3449966856.68832,NA,NA,NA
Angola,7692.43461558545,83799496611.2004,75.80242,11.29064,NA
Antigua and Barbuda,18205.9853689337,1148700000,95.1015,NA,16.7262306213379
Argentina,23521.2701763288,423627422092.49,98.7319,82.09918,73.2313995361328
Armenia,9286.18119012073,9260284937.79781,NA,92.50998,52.9891510009766
Aruba,33941.953877819,2390502793.29609,98.91975,NA,37.3457298278809
Australia,45351.7918953868,1146138465603.81,96.98847,NA,NA
Austria,52080.8880596327,391892746544.69,87.36683,86.79411,75.623779296875
Azerbaijan,14312.7561158751,52902703376.1056,84.44645,NA,19.2600402832031
"Bahamas, The",36503.7899698752,10095760000,80.42244,79.75847,NA
Bahrain,44599.9487427108,25713271276.5957,NA,86.11679,NA
Bangladesh,2883.46685252553,115279077465.226,90.53203,47.65124,NA
Barbados,15596.6168113309,4530000000,94.95407,85.18712,69.8074417114258
Belarus,17288.4043493433,57222490768.7143,91.05012,94.90999,79.5781402587891
Belgium,48142.6242414888,480951629493.033,97.25467,92.69016,67.8290100097656
Belize,7208.90126474635,1377200000,95.41596,63.64555,21.8678798675537
Benin,2704.70401397294,9535344283.47295,94.92278,NA,13.7751197814941
Bermuda,88399.9159492493,6634526000,NA,58.19615,30.7487297058105
Bhutan,8190.56427451825,1547991317.81183,86.28016,50.06988,7.24677991867065
Bolivia,6612.8079608313,19649631314.0482,90.89746,72.78318,NA
Bosnia and Herzegovina,10965.8367075264,17176781336.7644,NA,NA,NA
Botswana,14126.3893791046,12786654498.3514,NA,NA,20.8483791351318
Brazil,14868.3301408841,2208871646202.82,NA,NA,NA
British Virgin Islands,NA,NA,NA,NA,NA
Brunei Darussalam,67751.3297831065,13707370737.0737,NA,90.15449,15.4591398239136
Bulgaria,17427.2215430305,50381825504.2642,97.95684,83.95626,57.7951812744141
Burkina Faso,1716.35766288052,10109618964.2848,59.91302,16.48295,3.57942008972168
Burundi,846.169526927269,2032135246.50004,95.37413,15.17589,3.25461006164551
Cabo Verde,6200.21767971358,1664310769.55229,94.47048,65.4943,18.0097599029541
Cambodia,2716.69840884516,11242275198.9783,93.61728,NA,13.9649896621704
Cameroon,3086.22071585861,26169323292.5278,NA,NA,11.1570196151733
Canada,45095.8987615749,1613464422811.13,NA,NA,61.6558494567871
Cayman Islands,66762.0658576824,4156990816.04561,NA,NA,NA
Central African Republic,1201.35137524232,2142591375.85053,65.95599,NA,2.67114996910095
Chad,1732.69129415445,10668102734.8132,NA,NA,2.09606003761292
Channel Islands,NA,NA,NA,NA,NA
Chile,20560.6067050779,218537551220.071,95.45718,84.80201,67.8634262084961
China,8884.58803122452,6087163874512.21,NA,NA,24.1984901428223
Colombia,11901.8668528448,286563105192.456,91.85368,75.30739,39.4133186340332
Comoros,2878.28640343664,907978723.547592,NA,NA,5.78295993804932
"Congo, Dem. Rep.",865.684026812839,21565720044.4634,NA,NA,NA
"Congo, Rep.",5217.02726664222,13148395201.8041,86.245,NA,NA
Costa Rica,15917.9568859685,37268614024.3178,NA,NA,NA
Cote d'Ivoire,3660.90277768692,24908781285.4756,NA,NA,7.67224979400635
Croatia,24166.1286971997,59918313669.1671,85.81516,95.03317,54.0285301208496
Cuba,NA,64328000000,98.55296,88.24106,94.8522872924805
Curacao,28543.3607059699,NA,NA,NA,NA
Cyprus,38226.9931607121,25732432719.0773,98.96982,88.83383,48.311580657959
Czech Republic,33611.3477858151,209069940963.177,88.90289,NA,63.9458808898926
Denmark,50972.5214704457,321995279401.502,95.89593,90.13414,73.5966720581055
Djibouti,NA,1128611700.3618,NA,NA,3.61628007888794
Dominica,12003.5967240686,493825925.925926,NA,73.52168,NA
Dominican Republic,12782.4518985839,53860175556.5208,91.87024,63.72856,NA
Ecuador,10340.9682305541,69555367000,92.62287,71.80644,NA
"Egypt, Arab Rep.",10340.0743535159,218983666061.706,95.94726,NA,31.4172401428223
El Salvador,7328.71321626195,18447920000,94.46109,61.23691,26.1139793395996
Equatorial Guinea,34732.2559561868,16314442183.3477,45.07741,NA,NA
Eritrea,NA,1589515447.15447,62.77906,46.63161,3.2419099807739302
Estonia,26188.1967481756,19693608289.0773,96.75183,90.93238,68.1845092773438
Eswatini,7459.25599579237,4438778547.23269,87.79701,37.06153,NA
Ethiopia,1259.02255177893,29933790334.3418,73.35168,NA,7.48318004608154
Faroe Islands,NA,2320424601.26954,NA,NA,NA
Fiji,10547.9058558893,3140508835.9485,NA,NA,NA
Finland,45774.1076100475,249181190476.369,98.21163,93.90982,93.4478073120117
France,42349.5446324071,2642609548930.36,97.35002,92.55883,54.881721496582
French Polynesia,NA,NA,NA,NA,NA
Gabon,14415.4991658369,14372591916.4792,NA,NA,NA
"Gambia, The",2346.72440487282,1543292392.54605,63.27525,NA,1.95798003673553
Georgia,9736.73209374292,12243505582.6741,NA,NA,32.5837097167969
Germany,47197.4814821315,3396354075663.73,88.84321,88.12181,NA
Ghana,3732.38206331236,32197272797.2028,NA,NA,NA
Gibraltar,NA,NA,NA,NA,NA
Greece,33387.9129154915,299361576293.332,96.8096,95.21512,103.796279907227
Greenland,NA,2503156060.52524,NA,NA,NA
Grenada,13412.0358156961,771013259.259259,NA,NA,NA
Guam,NA,4895000000,NA,NA,NA
Guatemala,7336.00725928068,41338008612.7727,95.20853,41.79092,NA
Guinea,1870.83046945639,6853467857.61127,68.67825,NA,10.9002504348755
Guinea-Bissau,1747.24207561816,849878424.225986,71.25324,NA,NA
Guyana,9812.09015149996,3432913353.15303,91.70702,NA,11.6994304656982
Haiti,2735.2825173574,11661585823.2282,NA,NA,NA
Honduras,4866.97217562037,15839344591.9842,84.76193,NA,19.5100593566895
"Hong Kong SAR, China",51360.9902571582,228637697575.04,NA,79.86728,59.5978393554688
Hungary,24731.8605756072,131916516051.985,92.05381,89.09243,63.7223892211914
Iceland,46831.7196701353,13683689692.6583,99.2208,87.88673,78.8184432983398
India,4227.19307333497,1675615335600.56,90.95531,NA,17.8338794708252
Indonesia,8286.7332465921,755094160363.071,94.22952,66.64897,24.0762596130371
"Iran, Islamic Rep.",13805.7038219486,486807615326.147,96.5537,76.34191,44.1696586608887
Iraq,9063.56859717956,138461538461.538,NA,NA,NA
Ireland,53041.2775569019,222148757577.891,95.20748,96.66345,63.1264381408691
Isle of Man,NA,5920177688.50433,NA,NA,NA
Israel,34927.618743094,233995676087.698,97.04351,98.33685,65.926139831543
Italy,42873.1606996339,2134017843247.16,97.63938,96.34992,65.774299621582
Jamaica,9434.71131301141,13220556882.7046,NA,NA,26.8155899047852
Japan,37487.346083532,5700098114744.41,NA,NA,NA
Jordan,11315.5057739288,27133804244.3669,80.7257,NA,37.1499099731445
Kazakhstan,20751.2572399462,148047348240.643,89.45954,92.55572,46.2479705810547
Kenya,3329.85438577199,40000088346.8041,NA,NA,NA
Kiribati,1924.66009309094,156120895.248578,NA,NA,NA
"Korea, Dem. People’s Rep.",NA,NA,NA,NA,NA
"Korea, Rep.",34431.1451234023,1144066965324.49,98.38177,94.90295,102.791023254395
Kosovo,8372.37599926472,5835874320.56211,NA,NA,NA
Kuwait,58810.3001967563,115419399860.433,92.3455,87.37731,NA
Kyrgyz Republic,4141.07720515528,4794357795.07139,87.3591,NA,42.1598014831543
Lao PDR,4850.17739522899,7127792629.58294,94.53585,39.96589,16.648250579834
Latvia,21033.9725609909,23877564355.9904,97.18449,90.3935,69.0510406494141
Lebanon,19499.1846122678,38443907042.3217,NA,NA,NA
Lesotho,2273.93257675614,2269525779.39288,88.6368,36.12128,NA
Liberia,1420.04661067802,1998000000,NA,NA,9.53118991851807
Libya,22539.9073066578,74773444900.5368,NA,NA,NA
