country,primary_school_enrollments,gdp_percapita_ppp
Albania,93.4904708862305,10973.4123758229
Algeria,115.337577819824,10970.7051488836
American Samoa,NA,NA
Andorra,NA,NA
Angola,105.781036376953,7692.43461558545
Antigua and Barbuda,112.292961120605,18205.9853689337
Argentina,116.975761413574,23521.2701763288
Armenia,99.0649871826172,9286.18119012073
Aruba,113.794296264648,33941.953877819
Australia,105.619430541992,45351.7918953868
Austria,99.7897796630859,52080.8880596327
Azerbaijan,93.7622985839844,14312.7561158751
"Bahamas, The",88.9287261962891,36503.7899698752
Bahrain,NA,44599.9487427108
Bangladesh,105.974548339844,2883.46685252553
Barbados,99.5956192016602,15596.6168113309
Belarus,104.369689941406,17288.4043493433
Belgium,101.924240112305,48142.6242414888
Belize,112.569747924805,7208.90126474635
Benin,120.152008056641,2704.70401397294
Bermuda,99.3117218017578,88399.9159492493
Bhutan,108.214447021484,8190.56427451825
Bolivia,104.520439147949,6612.8079608313
Bosnia and Herzegovina,NA,10965.8367075264
Botswana,NA,14126.3893791046
Brazil,NA,14868.3301408841
British Virgin Islands,NA,NA
Brunei Darussalam,106.542167663574,67751.3297831065
Bulgaria,108.331008911133,17427.2215430305
Burkina Faso,78.0141677856445,1716.35766288052
Burundi,137.170104980469,846.169526927269
Cabo Verde,111.112152099609,6200.21767971358
Cambodia,123.834930419922,2716.69840884516
Cameroon,108.132659912109,3086.22071585861
Canada,98.6416015625,45095.8987615749
Cayman Islands,NA,66762.0658576824
Central African Republic,87.3316116333008,1201.35137524232
Chad,81.9184799194336,1732.69129415445
Channel Islands,NA,NA
Chile,103.750480651855,20560.6067050779
China,98.9642181396484,8884.58803122452
Colombia,120.323211669922,11901.8668528448
Comoros,NA,2878.28640343664
"Congo, Dem. Rep.",99.9991607666016,865.684026812839
"Congo, Rep.",109.160202026367,5217.02726664222
Costa Rica,116.899368286133,15917.9568859685
Cote d'Ivoire,NA,3660.90277768692
Croatia,91.9439468383789,24166.1286971997
Cuba,101.459770202637,NA
Curacao,NA,28543.3607059699
Cyprus,101.624328613281,38226.9931607121
Czech Republic,103.804420471191,33611.3477858151
Denmark,99.5820083618164,50972.5214704457
Djibouti,NA,NA
Dominica,102.739547729492,12003.5967240686
Dominican Republic,110.502220153809,12782.4518985839
Ecuador,113.080253601074,10340.9682305541
"Egypt, Arab Rep.",102.285339355469,10340.0743535159
El Salvador,114.972991943359,7328.71321626195
Equatorial Guinea,69.3820495605469,34732.2559561868
Eritrea,83.675666809082,NA
Estonia,103.03214263916,26188.1967481756
Eswatini,124.907188415527,7459.25599579237
Ethiopia,91.6565322875977,1259.02255177893
Faroe Islands,NA,NA
Fiji,NA,10547.9058558893
Finland,99.4823226928711,45774.1076100475
France,102.761512756348,42349.5446324071
French Polynesia,NA,NA
Gabon,NA,14415.4991658369
"Gambia, The",79.784912109375,2346.72440487282
Georgia,103.340347290039,9736.73209374292
Germany,102.995880126953,47197.4814821315
Ghana,NA,3732.38206331236
Gibraltar,NA,NA
Greece,98.5142517089844,33387.9129154915
Greenland,NA,NA
Grenada,116.528778076172,13412.0358156961
Guam,NA,NA
Guatemala,115.487129211426,7336.00725928068
Guinea,84.2496795654297,1870.83046945639
Guinea-Bissau,118.685180664063,1747.24207561816
Guyana,96.494758605957,9812.09015149996
Haiti,NA,2735.2825173574
Honduras,100.658950805664,4866.97217562037
"Hong Kong SAR, China",NA,51360.9902571582
Hungary,100.856307983398,24731.8605756072
Iceland,99.3081207275391,46831.7196701353
India,109.101371765137,4227.19307333497
Indonesia,109.150337219238,8286.7332465921
"Iran, Islamic Rep.",100.653442382813,13805.7038219486
Iraq,NA,9063.56859717956
Ireland,103.235488891602,53041.2775569019
Isle of Man,NA,NA
Israel,105.446647644043,34927.618743094
Italy,102.993713378906,42873.1606996339
Jamaica,NA,9434.71131301141
Japan,NA,37487.346083532
Jordan,81.9150466918945,11315.5057739288
Kazakhstan,108.761367797852,20751.2572399462
Kenya,NA,3329.85438577199
Kiribati,NA,1924.66009309094
"Korea, Dem. People’s Rep.",NA,NA
"Korea, Rep.",101.719871520996,34431.1451234023
Kosovo,NA,8372.37599926472
Kuwait,102.239639282227,58810.3001967563
Kyrgyz Republic,99.4610900878906,4141.07720515528
Lao PDR,123.432052612305,4850.17739522899
Latvia,102.958602905273,21033.9725609909
Lebanon,NA,19499.1846122678
Lesotho,124.746772766113,2273.93257675614
Liberia,NA,1420.04661067802
Libya,NA,22539.9073066578
Liechtenstein,105.459182739258,NA
Lithuania,100.421501159668,23988.7633837543
Luxembourg,97.5655136108398,108196.793840499
"Macao SAR, China",94.9250411987305,117537.959653532
Madagascar,143.718048095703,1553.40472203892
Malawi,138.75146484375,968.779611645394
Malaysia,99.7579498291016,20536.367417243
Maldives,NA,16305.6205356932
Mali,83.4273300170898,2082.96179622555
Malta,101.730461120605,33126.7147943452
Marshall Islands,NA,3647.71945131929
Mauritania,99.6779174804688,4767.38418810482
Mauritius,102.786018371582,16797.8172363943
Mexico,110.633491516113,17875.4647975546
